id,run_id,category,variable_name,baseline_value,requested_value,effective_value,verification_source,verification_status,changed_from_control,observed_monotonic_ns
14,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,Android.OpenGL.NumRemoteProgramCompileServices,4,4,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914324938625
15,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,Android.Vulkan.NumRemoteProgramCompileServices,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325031833
91,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,a.Budget.BudgetMs,6.0,6.0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914326431375
16,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,a.StripFramesOnCompression,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325058750
17,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,a.StripOddFramesWhenFrameStripping,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325087416
18,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,a.UseFrameTimeStampsForPacing,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325105583
19,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,android.PSOService.MaxPriPSOPrecacheAffinity,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325124083
20,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,android.PSOService.MinPriPSOPrecacheAffinity,7,7,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325141041
21,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,android.PSOService.NormalPriPSOPrecacheAffinity,31,31,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325161583
22,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,fx.Niagara.PSOPrecache.ReverseCulling,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325196458
23,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,grass.Enable,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325214625
24,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,p.ClothPhysics,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325236666
25,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,p.RigidBodyNode,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325253958
26,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.Android.DisableVulkanSupport,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325270875
27,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.Android.EnableAdrenoTilingHint,2,2,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325288833
28,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.DefaultBackBufferPixelFormat,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325307333
29,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.DiscardUnusedQuality,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325323625
30,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.ForceSceneHasDecals,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325339750
31,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.FreeSkeletalMeshBuffers,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325355583
32,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.HZB.BuildUseCompute,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325373833
33,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.MSAACount,4,4,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325390083
34,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.MaterialQualityLevel,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325406125
35,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.MeshDrawCommands.AllowOnDemandShaderCreation,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325422000
36,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.Mobile.CustomDepthForTranslucency,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325446208
37,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.MobileContentScaleFactor,0.0,0.0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325462208
38,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.DeferTextureCreation,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325478166
39,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.DeferTextureCreationKeepLowerMipCount,16,16,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325496375
40,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.EnableProgramLRUCache,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325512500
41,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.ProgramLRUEvictTimeSeconds,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325528916
42,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.ProgramLRUKeepBinaryResident,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325545000
43,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.TextureEvictionFrameCount,500,500,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325563666
44,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.TextureEvictionMinLRUCapacity,200,200,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325580291
45,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.OpenGL.TextureEvictsPerFrame,10,10,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325596750
46,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.DrawnComponentBoostStrategy,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325612375
47,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.PrecacheAlphaColorChannel,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325630833
48,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.ProjectedShadows,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325647916
49,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.ProxyCreationDelayStrategy,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325664291
50,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.ProxyCreationWhenPSOReady,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325705000
51,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecache.StaticMeshComponentPSOPrecachePriority,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325722333
52,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecaching.PermitPriorityEscalation,0,0,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325738125
53,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.PSOPrecaching.WaitForHighPriorityRequestsOnly,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325753916
54,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.RenderTargetPoolMin,350,350,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325771958
55,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.ShaderPipelineCache.BackgroundBatchSize,20,20,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325787833
56,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.ShaderPipelineCache.BatchSize,20,20,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325803583
57,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.ShaderPipelineCache.BatchTime,4,4,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325819708
58,run-4dfaa589bcb147a9a0bdcd5ba6ab682d,device_profile,r.ShaderPipelineCache.LazyLoadShadersWhenPSOCacheIsPresent,1,1,,/Users/flash/Library/Application Support/TFTMAC/Modes/advanced_diagnostics/Captures/2026-09-10T13-25-20.763Z-e5fb4388-d791-4e8b-b8e4-76bfb8bac07f/logcat.raw.txt,UNOBSERVED,0,1162914325852416
